StnName,ID_GIS_gag,Dams/Hps,Evidence of reg,station_el,longitude,latitude,Z,xcoord,ycoord,Qmean,Pmean,Gewaesser,Station,Area,Mean_altitude
BAFU-2034,1,No,0,441,6.936063788,46.83591732,446.8948517,2561659.513,1187320.439,598.16,964.3,Broye,"Payerne, Caserne d'aviation",417.789452,721.1873568
BAFU-2070,3,No,0,638,7.748795667,46.95444436,641.7198944,2623609.945,1200420.126,843.37,1402.13,Emme,"Emmenmatt, nur Hauptstation",443.166228,1069.581872
BAFU-2159,18,No,0,522,7.50173816,46.88522265,520.2189636,2604809.79,1192680.2,735.87,1120.1,Gürbe,"Belp, Mülimatt",116.149952,847.4146956
BAFU-2202,27,No,0,305,7.734125151,47.48814037,306.7265396,2622270.309,1259750.471,451.63,1040.4,Ergolz,Liestal,261.057624,585.227582
BAFU-2252,33,No,0,1220,7.28620454,46.69025105,1217.419556,2588339.562,1171015.18,802.54,1277.34,Schwändlibach,"Plaffeien, Schweinsberg",1.392452,1439.299472
BAFU-2276,39,No,0,767,8.560955638,46.91005373,765.5558472,2685500.269,1196049.714,1273.33,1669.41,Grosstalbach,Isenthal,43.912016,1812.852988
BAFU-2282,40,No,0,911,7.84272761,47.01576948,912.6541748,2630725.029,1207270.12,898.81,1459.69,Sperbelgraben,"Wasen, Kurzeneialp",0.556564,1061.343254
BAFU-2283,41,No,0,997,7.890277512,47.01631182,1000.654327,2634340.05,1207350.098,1086.86,1607.44,Rappengraben,"Wasen, Riedbad",0.602608,1138.855962
BAFU-2300,44,No,0,894,8.813762812,47.08056843,893.0401306,2704425.497,1215309.704,1666.12,1694.82,Minster,"Euthal, Rüti",58.720792,1350.637271
BAFU-2304,46,No,0,1707,10.18999236,46.65510525,1707.135498,2810560.817,1170788.783,596.76,690.47,Ova dal Fuorn,"Zernez, Punt la Drossa",55.238568,2330.186889
BAFU-2305,47,No,0,679,9.25713488,47.39811515,680.0730896,2737270.91,1251289.701,1055.88,1320.66,Glatt,"Herisau, Zellersmühle",16.644956,832.766591
BAFU-2307,48,No,0,642,7.172188064,47.19678882,644.1216736,2579809.865,1227350.553,1049.89,1338.51,Suze,Sonceboz,125.671244,1037.838098
BAFU-2312,50,No,0,406,9.357230584,47.55042902,408.3449631,2744411.058,1268399.754,501.39,989.45,Aach,"Salmsach, Hungerbühl",47.507492,472.3819759
BAFU-2343,56,No,0,597,7.828180081,47.12254697,599.7194824,2629560.096,1219135.195,651.58,1319.51,Langeten,"Huttwil, Häberenbad",59.783352,761.7046338
BAFU-2349,58,No,0,255,9.013078595,45.8454646,252.9266968,2722314.737,1078318.818,1125.5,1370.49,Breggia,"Chiasso, Ponte di Polenta",32.397824,837.7645587
BAFU-2369,64,No,0,449,6.724229637,46.77681031,449.0658875,2545439.381,1180875.503,475.63,954.12,Mentue,"Yvonand, La Mauguettaz",105.582688,681.906272
BAFU-2374,67,No,0,606,9.121444745,47.36418665,608.9893494,2727110.827,1247289.743,1163.33,1583.58,Necker,"Mogelsberg, Aachsäge",88.025908,954.5704974
BAFU-2409,70,No,0,745,7.804718163,46.87116215,742.2426605,2627909.912,1191180.047,1067.94,1387.91,Emme,"Eggiwil, Heidbüel",126.824668,1286.277534
BAFU-2412,72,No,0,681,7.078298416,46.6585225,680.0615997,2572419.45,1167540.26,879.1,1031.37,Sionge,"Vuippens, Château",42.588732,868.5079763
BAFU-2414,73,No,0,682,9.012293552,47.37607203,670.5523224,2718840.787,1248439.801,1020.17,1258.91,Rietholzbach,"Mosnang, Rietholz",3.187912,796.4764185
BAFU-2416,75,No,0,463,8.249133718,47.22006246,464.8877106,2661390.346,1230220.059,539.98,1041.68,Aabach,"Hitzkirch, Richensee",74.558488,582.1216999
BAFU-2417,76,No,0,504,8.115384764,47.15724086,508.0195007,2651320.245,1223140.081,537.24,1088.59,Suhre,Oberkirch,74.326288,586.1886671
BAFU-2432,81,No,0,383,6.552739621,46.53527536,387.0915527,2532039.139,1154160.436,540.12,946.22,Venoge,"Ecublens, Les Bois",238.683852,705.1655558
BAFU-2434,83,No,0,400,7.892973007,47.35028261,403.9113693,2634330.282,1244480.309,535.37,1193.6,Dünnern,"Olten, Hammermühle",207.868076,733.5664974
