,,,,,,QUALITY,,,,,RESPONSE VARIABLEN,,Klimaangaben [mm],,,,,,Höhenangaben [m],,,,,Hangneigungsklassen [%],,,,,,,,,,,,,,Abflussakkumulation [no. raster cells],,,,,,,Speichervermoegen [%],,,,,,,Durchlaessigkeit [%],,,,,,Vernaessung [%],,,,,Gruendigkeit [%],,,,,,Bodennutzung [%],,,,,,,,,,,Bodenbedeckung [%],,,,,,,,,Geologie / tektonische Einheiten [%],,,,,,,,,,,,,,,,,,,,,,Geologie / Lithologie [%],,,,,,,,,,,,,,,,,Geologie / Chronostratigraphie [%],,,,,,,,,,,,Maechtigkeit Lockermaterial,,,,Geology CH 1:25000,,,,,,Quaternary Deposits  CH 1:25000,,,,,,,,
gridcode,gridcode,Gewaesser,Station,Betreiber,Flaeche [km2],LAGE,WaterBalance,Hydrograph, Datenqualität,q347,NM7Q [mm],MasterRecession,mean annual P,mean monthly P May-Nov.,mean monthly P Dec.-April,mean annual PET,mean monthly PET May-Nov.,mean monthly PET Dec.-April,Stationshoehe / niedrigster Gebietspunkt,hoechster Gebietspunkt,mittlere Hoehe,mittlerer lokaler Relieffaktor,globaler Relieffaktor,mittlere Neigung,überwiegende Hangausrichtung*,überwiegende Hangausrichtung*,überwiegende Hangausrichtung*,überwiegende Hangausrichtung*,<= 10°,10° - 20°,20° - 30°,30° - 40°,40° - 50°,50° - 60°,60° - 70°,70° - 80°,80° - 90°,mittlere Rauigkeit,mittlere Fliesslänge,mittlere Anzahl Zellen die in betrachtete Zelle fliessen,mean UCA,mean SCA,mean TWI,mittlere Fliessdichte,extrem gering (< 15 mm),sehr gering (15 - 30 mm),gering (30 - 45 mm),maessig (45 - 60 mm),gut (60- 100 mm),sehr gut (> 100 mm),approximativer Mittelwert,stark gehemmt (0.7 - 0.08 cm/d),gehemmt (8.5 - 0.8 cm/d),schwach gehemmt (85.9 - 8.6 cm/d),normal (864 - 86 cm/d),übermaessig (8640 - 865 cm/d),approximativer Mittelwert,keine ,grundfeucht (tiefer als 90 cm),schwach grundnass (60 - 90 cm),grundnass (30 - 60 cm),approximativer Mittelwert,sehr flach (10 - 30 cm),flach (30 - 60 cm),mittel (60 - 90 cm),tief (90 - 120 cm),sehr tief (120 - 150 cm),approximativer Mittelwert,kontinuierlich verbaute Flaechen,diskontinuierlich verbaute Flaechen,Flaechen ohne/spaerlicher Vegetation,"Acker-, Wies- und Weideland",Strauch- und/oder Waldlandschaft undichter Auspraegung ,Dichter Wald,Fels,Gletscher und ewiger Schnee,Sumpflandschaft,Fliessgewaesser,Stehende Gewaesser,Fels,Fliessgewaesser,Gebueschwald,Lockergestein,Gletscher,Stehende Gewaesser,Feuchtgebiet,Wald,Wald offen,Helvetikum,Ultrahelvetikum,Untere Suesswassermolasse,Obere Meeresmolasse,Infrahelvetikum,Molasse,Unterostalpin,Oberpenninikum,Oberostalpin,Jura,Obere Suesswassermolasse,Unterpenninikum,Mittelpenninikum,Penninikum,Untere Meeresmolasse,Infrapenninikum,Suedalpin,Subpenninikum,Schuppenzone,Faltenjura,Ultrapenninikum,Ostalpin,Kalke,Gewaesser,Lockergestein,Sandstein,Sedimentgestein,Gneisse,Intrusivgestein,Extrusivgestein,Flysch,Magmatisch,Metamorph,Schiefer,Ophiolite,Kristallin,Konglomerat,Brekzie,Gletscher,Quartaer,Mesozoikum,Tertiaer,Jura,Kreide,Trias,Palaeozoikum,Karbon,Perm,0m,0.1 - 1m,1 - 2m,2 - 5m,5 - 10m,10 - 30m,> 30m,JURA,OSM,OMM,USM,Alps_Kristallin,Alps_Sediments,TOTAL,artificial,other,alluvial,glacial ,swamp,debris,landslide,waters
GIS_ID,org_ID,Gewaesser,Station,Betreiber,EZG ,1 = Alpine / 2 = Midlands / 3 = Other,1 = good / 2 = ok / 3 = poor,1 = good / 2 = ok / 3 = poor,INFO,q347,NM7Q, y=kx+q,P_MEAN,P_SUMM,P_WINT,PET_MEAN,PET_SUMM,PET_WINT,H_MIN,H_MAX,H_MEAN,REL_LOKAL,REL_GLOB,SLP_MEAN,ASP_N,ASP_O,ASP_S,ASP_W,SLP_10,SLP_20,SLP_30,SLP_40,SLP_50,SLP_60,SLP_70,SLP_80,SLP_90,ROUGH,FL_LENGTH,FL_ACC,UCA,SCA,TWI,DRAI_DENS,SP_EG,SP_SG,SP_G,SP_M,SP_GUT,SP_SGUT,SP_MEAN,D_SG,D_G,D_SCHG,D_N,D_UE,D_MEAN,VER_KEINE,VER_GF,VER_SG,VER_G,VER_MEAN,GRU_SF,GRU_F,GRU_M,GRU_T,GRU_ST,GRU_MEAN,BOD_KVF,BOD_DVF,BOD_SVEG,BOD_AWW,BOD_WAL,BOD_DW,BOD_FELS,BOD_GLE,BOD_SUM,BOD_FLIESS,BOD_STEH,BED_FELS,BED_FLIESS,BED_GEB,BED_LOCK,BED_GLET,BED_STEH,BED_FEUCH,BED_WALD,BED_WALDO,GEO_HEL,GEO_ULT,GEO_USM,GEO_OMM,GEO_INFH,GEO_MOL,GEO_UOA,GEO_OBPE,GEO_OOA,GEO_JURA,GEO_OSM,GEO_UNPE,GEO_MIPE,GEO_PE,GEO_UMM,GEO_INFPE,GEO_SUAL,GEO_SUBPE,GEO_SCHU,GEO_FJURA,GEO_ULPE,GEO_OA,GEO_KLK,GEO_GEW,GEO_LOCK,GEO_SAND,GEO_SED,GEO_GNEIS,GEO_INTR,GEO_EXTR,GEO_FLY,GEO_MAG,GEO_MET,GEO_SCHIEF,GEO_OPH,GEO_KRI,GEO_KONG,GEO_BRE,GEO_GLE,GEO_QUA,GEO_MES,GEO_TER,GEO_JUR,GEO_KRE,GEO_TRIAS,GEO_PAL,GEO_KAR,GEO_PERM,0m,0.1 - 1m,1 - 2m,2 - 5m,5 - 10m,10 - 30m,> 30m,Jura,OSM,OMM,USM,crystalin rocks,sedimentary rocks ,total,artificial,other,alluvial,glacial ,swamp,debris,landslide,waters
0,2019,Aare,Brienzwiler,BAFU,"554,0",1,3,,hydropeaking,"1,5461","1,4250",12982,"1894,78","1003,36","919,94","466,52","313,14","160,50",570,4273,2131,"7,3979",3703,"31,39",1,0,0,0,"10,7215","14,3488","22,0302","25,2192","14,4651","7,7176","3,9439","1,3837","0,1700","1,3043",336861,6225,2431,24362,5513,"0,6081","13,9050","15,2588","6,5762","2,5830","0,0000","0,0000","12,4139","0,0000","0,2838","5,8165","13,0714","19,1513","33,2118","36,9831","0,9098","0,1463","0,2838","10,0942","29,0176","4,7224","4,5831","0,0000","0,0000","10,4423","0,0000","0,4421","8,4345","26,4270","0,0000","14,7761","28,9831","19,8533","0,0000","0,0000","1,0839",29367,84,3890,16423,14899,1379,130,11189,437,6234,452,0,0,37906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,7357","18,2698","37,5363","0,2940","1,1740","8,7118","17,0125","0,0423","0,2944","0,2354","1,4104","3,9827","0,0000","0,0000","0,0324","0,5400","0,7067","56,2636","0,4509","1,1428","3,6210","1,5614","0,2541","0,0000","0,0233","0,0000","68,36","4,69","4,90","10,10","7,19","3,77","1,00","0,0","0,0","0,0","0,0","83,5","16,5","55,6","0,1","0,0","2,1","33,0","0,2","17,5","1,3","1,4"
1,2034,Broye,"Payerne, Caserne d'aviation",BAFU,"417,8",2,1,,,"0,3291","0,2800",13519,"1184,83","640,17","571,51","766,66","498,39","281,19",440,1514,721,"1,6074",1073,"8,46",0,0,0,1,"72,1032","18,9181","5,8479","2,3703","0,6156","0,1148","0,0251","0,0048","0,0002","1,0234",245457,7382,2890,28902,6717,"0,5875","0,0000","0,2597","1,4627","21,2186","69,0804","7,1504","79,6811","3,2189","6,3366","35,5186","54,0977","0,0000","67,7678","73,8853","1,3864","15,2739","8,6262","39,2462","0,2597","5,3355","35,4340","58,1426","0,0000","69,9606","0,4649","4,4536","0,0011","71,1883","0,5755","23,3167","0,0000","0,0000","0,0000","0,0000","0,0000",52,248,30,30,0,21,70,23411,22,0,169,7273,5701,0,3414,0,719,0,0,0,0,0,0,227,0,0,0,0,0,0,0,"0,1799","0,0000","20,7112","0,0000","0,0000","0,0000","0,0000","0,0000","0,6663","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","77,0927","0,0000","13,1905","0,0027","0,0000","0,0000","0,0000","0,0000","0,0000","34,72","5,64","5,71","13,42","14,71","17,64","8,15","0,0","0,0","49,6","36,7","0,7","13,0","75,9","0,7","3,7","4,7","54,0","3,5","6,0","3,1","0,0"
2,2053,Drance,"Martigny, Pont de Rossettan",BAFU,"675,7",1,3,,"residual water, hydropeaking","0,0813","0,0771",22209,"1289,56","645,54","654,50","485,24","329,03","163,91",478,4312,2247,"6,9124",3834,"30,83",0,0,0,1,"9,2010","14,9722","22,8514","28,4546","14,5919","6,2317","2,7899","0,8499","0,0574","1,2614",89272,6701,235,2391,5494,"0,1321","14,3816","32,9298","5,5652","3,3755","0,0000","0,0000","18,4065","0,0000","0,6708","2,5369","20,8076","32,2368","50,6734","50,9633","3,9825","0,8666","0,4397","15,8217","46,4448","5,8260","3,9814","0,0000","0,0000","14,0082","0,0000","1,6975","8,3642","30,2898","0,2768","21,0048","23,3440","14,5833","0,0000","0,0000","0,4396",16272,77,1658,17750,12253,535,33,16552,731,707,186,0,0,8904,0,2610,3873,0,0,0,5096,17467,105,0,0,0,0,0,0,0,0,"7,2021","14,5570","6,1467","0,0000","0,0778","8,1749","5,8815","0,0000","0,3254","0,0004","1,6470","0,0002","0,0000","5,3190","0,0000","0,0574","0,0957","56,1098","0,1767","0,0000","0,6839","0,0000","0,6267","0,0000","0,0000","1,1667","56,54","4,10","4,76","12,36","11,75","7,19","3,31","0,0","0,0","0,0","0,0","55,4","44,5","53,6","0,4","0,0","1,3","29,8","0,0","17,7","4,1","0,2"
3,2070,Emme,"Emmenmatt, nur Hauptstation",BAFU,"443,2",2,1,,,"0,4866","0,4132",8589,"1568,44","889,30","699,59","690,96","449,92","253,27",639,2221,1070,"4,5517",1582,"22,35",1,0,0,0,"21,7676","24,7275","23,5065","19,6674","8,1056","1,6791","0,4082","0,1174","0,0208","1,1315",169388,4613,1776,17788,5457,"0,3822","2,2521","4,4366","19,8911","39,3788","29,6500","2,0455","64,8061","6,6757","10,3411","35,5014","45,1359","0,0000","62,8811","35,4318","40,6826","11,2349","10,3046","47,9301","4,9411","31,1211","41,7934","10,5409","9,2576","56,2030","0,0744","1,1254","1,3349","50,1067","0,7258","46,3635","0,2693","0,0000","0,0000","0,0000","0,0000",1446,273,214,1270,0,6,339,39831,451,4872,1099,10344,17106,0,1773,0,1847,0,0,15825,0,0,0,651,0,0,0,0,0,0,0,"2,7809","0,1001","40,2679","0,2107","1,6469","0,0000","0,2633","0,0000","4,0261","0,0000","0,0011","0,0950","0,0000","0,0000","0,0000","0,0674","0,0000","46,9668","0,0000","26,1069","0,0000","0,6042","0,0000","0,0000","0,0000","0,0000","66,73","3,86","4,56","10,59","8,06","5,32","0,88","0,0","18,3","50,4","13,9","0,0","17,4","45,3","0,1","0,0","6,6","11,6","3,2","17,1","6,7","0,0"
4,2078,Poschiavino,"Le Prese, stazione principale",BAFU,"157,6",1,3,,hydropeaking,"0,8166","0,7729",19194,"1372,74","841,44","564,16","541,41","365,19","184,28",965,3891,2126,"6,2747",2926,"28,98",0,1,0,0,"9,7933","16,1228","25,6673","29,8266","12,2942","3,9649","1,7512","0,5483","0,0314","1,2171",23569,2772,86,818,5385,"0,1495","23,5333","29,6583","15,9363","0,8682","0,0000","0,0000","22,3552","0,0000","0,0000","0,0000","8,7154","61,2806","68,2530","61,2806","5,9481","2,7673","0,0000","20,3697","51,2925","13,5656","5,1379","0,0000","0,0000","18,7675","0,0000","1,0401","18,8323","29,3150","0,0000","28,8064","17,4481","4,2831","0,0000","0,0000","0,2749",11721,66,1959,19721,3664,540,189,24674,2340,0,0,0,0,0,0,22761,1114,14778,0,0,0,1739,0,0,0,0,0,0,0,0,0,"0,1524","4,8898","56,2196","0,0836","1,9092","12,8902","7,0588","0,3980","0,0000","0,0000","2,9347","13,8757","0,5836","0,1316","0,0367","0,3198","0,0000","61,5592","0,0000","0,0000","0,0800","0,0058","0,8726","0,0000","0,0000","0,0000",,,,,,,,"0,0","0,0","0,0","0,0","49,4","50,3","58,8","0,0","0,0","0,5","32,2","0,3","24,8","0,5","0,4"
5,2086,Brenno,Loderio,BAFU,"400,5",1,3,,residual water,"0,3457","0,3102",37870,"1681,30","1054,51","654,55","558,97","372,01","195,53",344,3400,1809,"7,2935",3056,"32,03",0,1,0,0,"7,8773","13,3905","22,0861","29,1921","16,7248","6,5738","3,0265","1,0295","0,0994","1,2843",83044,4577,1790,17877,5298,"0,2073","27,1923","33,0168","13,8366","5,1669","0,0000","0,0000","25,9005","0,0000","3,3849","7,4939","18,0038","50,3300","70,5833","70,8593","5,6097","2,0607","0,6828","22,7480","57,1613","17,4432","4,6081","0,0000","0,0000","21,1744","0,0000","1,2781","9,1894","38,0276","0,9855","33,1212","16,1131","0,9331","0,0000","0,0000","0,3520",13708,144,5984,14383,342,438,129,27110,2163,0,11565,0,0,0,0,0,0,0,0,0,17470,0,0,0,27992,0,0,0,0,0,0,"2,6199","0,5030","30,1106","0,0112","0,6458","32,1773","4,0631","0,0000","0,0000","0,0012","2,6502","10,6675","0,0000","0,0000","0,0887","0,0000","0,0000","49,2312","0,9462","0,0000","0,0000","0,0000","1,9374","0,0000","0,0000","0,0000","77,69","2,76","2,91","6,77","5,52","3,75","0,60","0,0","0,0","0,0","0,0","80,9","18,7","47,9","0,1","0,0","2,2","15,2","0,3","25,9","3,7","0,5"
6,2087,Reuss,Andermatt,BAFU,"190,0",1,3,,residual water,"0,7973","0,7391",21018,"1703,51","901,13","824,71","440,09","304,09","142,17",1427,3587,2279,"6,0875",2160,"28,43",1,0,0,0,"8,6631","18,8038","27,8867","26,5651","11,9552","4,1959","1,5102","0,4098","0,0102","1,2045",200509,2593,997,9988,5527,"1,0552","18,5643","31,1090","12,4697","2,0759","0,0000","0,0000","21,0825","0,0000","0,0000","0,0000","11,6125","52,6063","61,8963","54,6822","6,7713","2,7654","0,0000","19,1302","46,9079","15,2350","2,0759","0,0000","0,0000","16,7211","0,0000","0,3051","14,5270","53,2248","0,0000","0,9208","26,4576","4,2753","0,0000","0,0000","0,2894",13249,41,3503,23495,3577,656,206,384,0,0,17509,0,0,21480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1101","2,3988","30,8863","0,0000","0,4639","23,5814","1,9766","0,1324","0,0000","8,4798","0,2946","4,6401","0,0000","0,0000","0,0000","0,0000","2,5737","62,6456","0,0000","0,0000","0,0000","0,0000","0,0021","0,0000","0,0000","0,0000","63,40","2,82","2,96","7,87","10,32","11,78","0,86","0,0","0,0","0,0","0,0","100,0","0,0","61,8","0,1","0,0","1,6","42,9","0,3","15,1","1,4","0,5"
7,2105,Inn,St.Moritzbad,BAFU,"154,4",1,3,,regulated lake upstream,"0,6553","0,5871",13442,"1105,12","682,18","435,93","502,81","343,92","166,33",1770,3451,2393,"5,6408",1681,"25,87",0,0,0,1,"16,3098","19,2206","25,7724","22,8484","9,4310","3,8934","1,8570","0,6316","0,0357","1,1949",111217,2546,231,2376,5575,"0,7202","23,2991","13,6736","16,4668","0,0000","3,2167","0,0000","19,3550","0,0000","0,0000","3,2076","17,2780","36,1707","51,9176","46,3347","7,3116","3,0099","0,0000","17,4969","33,9628","18,5584","0,9183","3,2167","0,0000","17,3403","0,0000","1,5366","20,1217","26,4866","0,0000","11,6940","29,7192","5,6504","0,0000","0,0000","4,7914",14050,107,1020,27072,4518,5111,207,7994,183,0,0,0,0,0,0,33345,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,4194","6,7180","54,5176","0,0734","2,4863","6,7723","9,8624","0,1331","0,0000","0,0000","4,3159","7,2617","0,0000","0,0000","0,0183","0,6878","0,0000","63,9505","3,1702","0,0000","0,4840","0,1230","0,2936","0,0000","1,9450","0,2405",,,,,,,,"0,0","0,0","0,0","0,0","46,7","53,3","63,3","0,1","0,0","1,4","32,4","0,4","21,8","2,8","4,4"
