lagtime	NRF_p<2.39983|all	NRF_p=2.39983-4.79971|all	NRF_p=4.79971-7.23127|all	NRF_p=7.23127-9.64423|all	NRF_p=9.64423-12.3346|all	NRF_p>12.3346|all	se_p<2.39983|all	se_p=2.39983-4.79971|all	se_p=4.79971-7.23127|all	se_p=7.23127-9.64423|all	se_p=9.64423-12.3346|all	se_p>12.3346|all
0.333333333333333	0.00136781198313121	0.0385019927785097	0.0527004159950252	0.148270317518566	0.143177331271579	-0.041291825361913	0.00329474550937784	0.00632542653997274	0.0101365844486942	0.0171632851250009	0.0228207618732129	0.0323076434771352
1	0.00806786068315194	0.140998963740298	0.422284291223474	0.650805505353762	0.598665828273373	1.28021761101811	0.00177954202530762	0.00339201650530816	0.00590238344441037	0.0104862395601537	0.0144985615274683	0.0207778218117905
2	0.042532298806203	0.267923877173699	0.714886064776655	1.00461281712179	0.869845745943006	1.33321573009053	0.00184451585253399	0.00353152191650117	0.00655645550445409	0.0115974116974816	0.016538788842257	0.0238001270887073
3	0.0582338573676682	0.263270501182243	0.551156319976266	0.675731025855925	0.614260275937264	0.809873978887715	0.00187385636552036	0.00363180027343539	0.00695403630479151	0.0123898818689086	0.0179116490907121	0.0258505584008509
4	0.0648945205619783	0.223722816065271	0.414521115665732	0.463990804925183	0.426872573063448	0.472467872725912	0.00188981334531506	0.00370280238064712	0.00725493884788838	0.0129742602352007	0.0188825634341726	0.0273124213613658
5	0.0678164833740411	0.191546668299934	0.31926309734534	0.358853008510985	0.310841204610589	0.329887504634652	0.00190065155230656	0.00375754450080829	0.00747942519434657	0.0134161024463082	0.019610685778832	0.0283008836967349
6	0.0548614031156671	0.147383257104349	0.244104647477858	0.274114414021482	0.243061824463763	0.299600842018794	0.0019088353023758	0.00379462509201819	0.00762549465152877	0.0137460936636668	0.0201622533043	0.0290434890786583
7	0.0521562014704787	0.129967908486975	0.188770157912015	0.22089548383862	0.209653654476374	0.165452179470426	0.00191308924820567	0.00382554800850305	0.00773664931607987	0.0139832150256634	0.0205798586302808	0.0295812091504305
8	0.041482113270231	0.100631409854666	0.15209086787023	0.180347877604365	0.154888823976276	0.120153673874897	0.00191731004109614	0.0038461767646049	0.00782265947610483	0.0141688244286771	0.0208562315333723	0.0299891244440375
9	0.0358912809053262	0.0823597906238389	0.13529191003289	0.153911905674039	0.102562730868586	0.0746147118804873	0.00191877589702347	0.0038623868405739	0.00788333452796479	0.0143082356124384	0.0210746216227369	0.0302970305746402
