lagtime	NRF_p<2.14472|all	NRF_p=2.14472-4.29832|all	NRF_p=4.29832-6.45168|all	NRF_p=6.45168-8.61413|all	NRF_p=8.61413-11.0667|all	NRF_p>11.0667|all	se_p<2.14472|all	se_p=2.14472-4.29832|all	se_p=4.29832-6.45168|all	se_p=6.45168-8.61413|all	se_p=8.61413-11.0667|all	se_p>11.0667|all
0.333333333333333	0.00160236199116308	0.0417539445719917	0.0601959516384607	0.102083942509905	0.190702086569173	-0.0508647725205584	0.00368339580910063	0.00682337279382277	0.0103539026904919	0.0166300238360207	0.0237208280479188	0.0343964676560559
1	0.00392053236499145	0.118279692815453	0.373017837173927	0.668899306191179	0.791671007278069	1.27784357729639	0.00199081460084961	0.00368146071685349	0.00589690803542744	0.00998423317026408	0.0147031012718429	0.0218217204447935
2	0.0328130419697197	0.234521785418213	0.620739422437924	1.06393216089873	1.1779133174269	1.34995974166606	0.00206010094474463	0.00384006123350187	0.00641381494967336	0.0110670093276882	0.0163718301449421	0.0248905897102212
3	0.048862146854991	0.239142391893224	0.485565127905192	0.707200158011414	0.790229701991694	0.785921095855093	0.00209471855397787	0.00395285582386027	0.00674467455034655	0.0117882841608916	0.0174556960071565	0.0269479298221194
4	0.0587845252475379	0.20589448567382	0.372997675444766	0.492129500355541	0.525540492773227	0.452185027980642	0.00211450863925142	0.0040360380834667	0.00697192038335109	0.0122971572178274	0.0182538491267529	0.028389650990499
5	0.0621021076907437	0.17546958443411	0.285551809028536	0.381092678090416	0.381172192895515	0.289339199843071	0.00212978058567108	0.00409332574329791	0.00715245559846046	0.0126890452704548	0.0188341570484433	0.0294471571543452
6	0.0523375118473829	0.135954024130713	0.21753775513003	0.300246189461053	0.285303759756739	0.201800293602202	0.00213856443434204	0.00414592438615295	0.00726717178608123	0.0129815054547123	0.0192940496348188	0.0302211636633075
7	0.0514243641202666	0.123055651016468	0.178891097721748	0.232113781552106	0.244156062303124	0.136207194338384	0.00214411847021819	0.00418478526168334	0.007360500534541	0.0131864448091911	0.019610314060771	0.0307771816281834
8	0.0411482289320575	0.091492272121493	0.144410650032134	0.188095511954821	0.171794153304317	0.0911324063643235	0.00214856272554572	0.00421283870752205	0.00742645718315646	0.0133557477617189	0.0198355971133332	0.0311866279217033
9	0.0360164534229461	0.0731942583205736	0.128021386133059	0.171160982252514	0.116776418177954	0.0421495369347349	0.0021497432969442	0.00423599294448671	0.00747015764659073	0.0134752377520382	0.0200097394701562	0.0314960920603212
10	0.0344701085648256	0.0674343593177945	0.112179426920897	0.138255726585451	0.0925510992172538	0.0411343250452814	0.00215144819742174	0.00425270421448771	0.00750304478674748	0.0135795776475228	0.0201283061385361	0.0317282606356013
11	0.0281522486388373	0.0568008843952775	0.0887082907637752	0.110137039508065	0.0905402475103252	0.0441472650402194	0.00215152419712548	0.00426594230181295	0.00752804181545716	0.013654943646459	0.0202184349131137	0.0318987869007096
