lagtime	wtd_avg_RRD_p|all	se_p|all
0.333333333333333	0.0062780625796116	0.00242395131977115
1	0.0259332353966579	0.0012703638332001
2	0.0581317637456242	0.00129577798509165
3	0.0606906846833578	0.00130483686485112
4	0.0588382210142024	0.00130892945800006
5	0.0552741555740716	0.00131178522817662
6	0.0449188426669232	0.00131315378745996
7	0.0421613859589595	0.00131379555670075
8	0.0331271081380873	0.00131402508928258
9	0.0283500897906799	0.00131379324948873
10	0.0265597083992155	0.00131400392082607
11	0.0218214589345541	0.00131364928546931
12	0.0177878448489705	0.00131344855733081
13	0.0161466042217518	0.0013130143966667
14	0.0167419606208047	0.0013132141171764
15	0.013738331278437	0.00131330847836377
16	0.0144208816023469	0.0013128981950509
17	0.0145975566099854	0.00131289282481695
18	0.012741056694818	0.00131229397705058
19	0.0124440438339763	0.0013121943960827
20	0.0102979564399579	0.00131202264187065
21	0.0104806075405775	0.00131183215294915
22	0.00954027720283906	0.00131172125519113
23	0.00964310766815462	0.0013113983024905
24	0.0093775328355952	0.0013111458149627
25	0.00818076977706864	0.00131097049579038
26	0.00845213301581238	0.00131066367443741
27	0.00651284462274721	0.00131035292837837
28	0.00571071496322204	0.00131018304408028
29	0.00752480354665987	0.00130988665568513
30	0.00646261647814524	0.00130989985406293
31	0.00872765551278055	0.00130978872077472
32	0.00735726167831489	0.00130942676945004
33	0.00660884099320669	0.00130940502823745
34	0.00652118055745646	0.00130940018299755
35	0.00545227009252096	0.00130931499448655
36	0.00576527465721686	0.00130866823063371
37	0.00611286074074375	0.00130848176208948
38	0.00569655887315853	0.0013082822309301
39	0.00624563243412851	0.00130819014891305
40	0.00573033400750484	0.00130809911778204
41	0.00669017476040382	0.00130775911668751
42	0.00690363485129493	0.00130709597067124
43	0.00851942373443506	0.0013062183162398
44	0.00555071781734733	0.00130548763885838
45	0.00520008686498089	0.00130502499005578
46	0.00446104943593168	0.00130346890341125
47	0.00348493066237237	0.00130191727047999
48	0.00342349019120457	0.0012984658055229
49	0.00418740101627424	0.00128975074701052
50	0.00378431134237598	0.00127645794063218
