lagtime	NRF_p<2.40381|all	NRF_p=2.40381-4.81333|all	NRF_p=4.81333-7.24129|all	NRF_p=7.24129-9.65761|all	NRF_p=9.65761-12.4928|all	NRF_p>12.4928|all	se_p<2.40381|all	se_p=2.40381-4.81333|all	se_p=4.81333-7.24129|all	se_p=7.24129-9.65761|all	se_p=9.65761-12.4928|all	se_p>12.4928|all
0.333333333333333	1.25369575512435e-05	0.0372784402783554	0.0595388527371918	0.141799757082705	0.134499672322237	-0.034511990108548	0.00303640257029305	0.00606584884155273	0.00978262320734316	0.016856065580871	0.0223348075256915	0.0315799273473251
1	0.00772674165615617	0.14199896265096	0.430982942834282	0.64853904186797	0.576304128762021	1.25823908529895	0.00164137787543807	0.00325117722559592	0.00571526469150674	0.0103413169897219	0.014242937936043	0.0204081526145513
2	0.0427300375133746	0.269963672478239	0.718515989741218	0.995511151181654	0.839654421342151	1.31067758008617	0.00170354031735887	0.00338980851301114	0.00637125573811165	0.0114709670433203	0.0163007942107049	0.0234583246904454
3	0.0567695511365602	0.263846412846379	0.553421546158561	0.666687419541581	0.585610434735022	0.791771004275465	0.00173272857958845	0.00348978252089731	0.00677451127086077	0.0122893924892095	0.0177126795871288	0.0255596299939246
4	0.0626485834121035	0.227156146634229	0.41929863950812	0.455174120974836	0.391571430028008	0.447790526279654	0.00175057115960552	0.00355883229596446	0.00708269919209101	0.0128995743713825	0.0187225151905047	0.0270789470370111
5	0.0661896411679139	0.195122593928787	0.32248296336459	0.350284791067859	0.29008995611041	0.318875290180924	0.0017620701769436	0.00361135147403719	0.00731706312631534	0.0133663228182184	0.0194906343035843	0.0281257688148913
6	0.0512957073643343	0.148255008366018	0.247225265469022	0.26431334855358	0.223584857171079	0.287036448614281	0.00177040918793332	0.00364656721494299	0.00747394628353724	0.0137189378497742	0.0200804945457469	0.0289231186743448
7	0.0478291685105226	0.130494212708522	0.192748711731512	0.211730284133613	0.191711281605839	0.155722833286958	0.00177528365138219	0.00367682956261375	0.00759526835355033	0.0139775898049524	0.0205330733466264	0.0295102097764872
8	0.0388117529870652	0.102282796681915	0.15581176141472	0.171570591938846	0.138297688128624	0.113166645666164	0.00177959644746121	0.00369789988313117	0.00768843842994344	0.0141804589703688	0.0208403293039547	0.0299622903710804
9	0.0344821802907814	0.0854176596370081	0.141734946429996	0.148423185939582	0.0874016311953123	0.069742581356514	0.00178118907280675	0.00371531663416186	0.0077540655882501	0.0143357889027795	0.0210859041292607	0.0303084260478869
10	0.0319109754466252	0.0773920648262401	0.119550388331955	0.112389574670409	0.0730545701494549	0.056595474998725	0.00178265949317221	0.00372779310246427	0.00780827174361948	0.0144674233322595	0.02126428061328	0.0305724730805167
11	0.0267285291009227	0.0651948327753883	0.101553981794835	0.0960065682380594	0.0728111363858832	0.0611625225125351	0.00178332981241544	0.0037372627828947	0.00784681205833784	0.0145683378217681	0.0213762030637233	0.0307700275399782
12	0.0219308235165383	0.056704901278592	0.0974183136008397	0.0853984672873423	0.0645274224071162	0.0707309555432131	0.0017834341177374	0.00374503388266565	0.00787336507486638	0.0146476976945619	0.021449122794583	0.030918782975541
13	0.019439244168381	0.0482429743479633	0.0887039038851447	0.0874797046389105	0.0497988976022483	0.0553709114313041	0.00178370739014456	0.00374905309306265	0.00789569842755613	0.0147134917578281	0.021506972224584	0.0310363814282679
14	0.0214363094870719	0.0491676846483492	0.0842357454190407	0.0993299193778058	0.0598012649005413	0.0412395182743524	0.00178409506137294	0.00375488826476409	0.00791429244795453	0.0147634817132916	0.0215557363494674	0.031123909213853
15	0.0177719938753186	0.0405005387179146	0.0708251591452483	0.102046600786004	0.0893756864956329	0.0466682777812984	0.00178429367037036	0.00376029741746999	0.00793084482272352	0.0148019679248432	0.0215989517651594	0.031192339845241
