lagtime	NRF_p<2.404|all	NRF_p=2.404-4.813|all	NRF_p=4.813-7.241|all	NRF_p=7.241-9.658|all	NRF_p=9.658-12.493|all	NRF_p>12.493|all	se_p<2.404|all	se_p=2.404-4.813|all	se_p=4.813-7.241|all	se_p=7.241-9.658|all	se_p=9.658-12.493|all	se_p>12.493|all
0.333333333333333	0.00169968165546552	0.0488745798000844	0.0657172882749302	0.168627205072648	0.172494973783688	-0.117315321124921	0.00345510008781333	0.00673448916547	0.010996900602167	0.0197662872320485	0.0266850189354987	0.0392855813879454
1	0.00923683174131253	0.154344522424288	0.469969204842456	0.741620073387128	0.749839908772399	1.37879414994304	0.00186821935248803	0.00361113084628773	0.00641800469462374	0.0119027055361901	0.016928068673478	0.0252974543561757
2	0.0471330729409651	0.282583027218043	0.769765774706695	1.12135353201495	1.03386371175873	1.42936893526152	0.00193503981817945	0.00376324107469359	0.00715593279908228	0.0130879814258189	0.0193525660436339	0.0290232207865283
3	0.062466559280615	0.26962953947247	0.573057111217659	0.722912448879081	0.686913525938167	0.808784432521703	0.0019677742257369	0.00387501121509789	0.00761126401094269	0.013954773957463	0.0209777245666991	0.0315691962180648
4	0.068242419590286	0.228918129326272	0.428470777836424	0.483413070165476	0.449104138733713	0.432077240362196	0.00198788384957291	0.0039504051985737	0.00795491870823085	0.0146055349876724	0.0221257778809597	0.0333950294003939
5	0.0702903774799694	0.192307704236611	0.325051988318646	0.381362891674477	0.321262733601816	0.276261186414307	0.00200174432070445	0.00400754893904527	0.0082141303316255	0.0150996251444542	0.0230172528847101	0.0347429270953412
6	0.0548741808474201	0.147769946118196	0.2513347903149	0.300870586843869	0.22516321063516	0.181673601887196	0.00201047015769012	0.00404710831399162	0.00838717492199912	0.0154741652492367	0.02369911248551	0.0357490106661724
7	0.0515658994209876	0.132304530259028	0.198133703891069	0.242302331701591	0.216458565524651	0.0977079242062444	0.00201590931985837	0.0040797263030993	0.00852111530903652	0.0157377006154774	0.0242171774999557	0.0364734820840742
8	0.0411351416154329	0.102690331216568	0.161073992575659	0.189491833489521	0.145499805253493	0.0628775485458401	0.00202030089665157	0.00410220914750564	0.00862184437806683	0.0159543653674722	0.0245692669469153	0.0370252808124026
9	0.0367947350240953	0.0850890165886294	0.148422309802865	0.164465013505728	0.0746972219625892	0.020306029368909	0.00202169861401346	0.00412056522178059	0.00868975820641248	0.0161126421687867	0.0248508467426868	0.037446354817618
10	0.0344104068608487	0.0783958287222178	0.127260174019467	0.127870416027997	0.0643444202868556	0.0236525164553643	0.00202330932150602	0.00413263718979442	0.00874622868296186	0.0162513884098636	0.0250470466281653	0.0377687739405628
11	0.0278550867670558	0.0645451978389407	0.104088196503963	0.107028723048719	0.068835911528667	0.0307452881366717	0.00202391988833178	0.00414149734839018	0.00878592578183504	0.0163564863064477	0.0251771990000598	0.0380144721993537
12	0.0226986584660652	0.0566589418133647	0.100206428514775	0.0940290829124906	0.071436680033347	0.0502445203680823	0.00202386994324101	0.00414948767373843	0.00881289655139258	0.0164401847979312	0.0252702832974604	0.0382050103539815
13	0.0197774610548963	0.0483321096498217	0.0917167822981281	0.0955762315327234	0.070823722560753	0.045881750225058	0.00202407297025552	0.00415317791023595	0.00883588248457543	0.0165109715097299	0.0253398695677691	0.0383521675553136
14	0.0221846955552389	0.0500729527394544	0.0868779256316323	0.107543730841826	0.0839074588869752	0.0318689102995759	0.00202450232825326	0.00415992660185486	0.00885448539698937	0.0165645813522798	0.025400046504045	0.0384607355382212
15	0.0186078457368448	0.0418819829239107	0.0728052519501866	0.109683445270762	0.12354269706375	0.0473727864126038	0.00202478827802772	0.00416589315431732	0.00887119895502927	0.0166048786639227	0.0254518513654527	0.0385447085093832
16	0.018616430152796	0.0442612710349267	0.080054578103499	0.130748107812497	0.133515601657775	0.0478907529845165	0.00202454242541677	0.0041702547912359	0.00888449600115795	0.0166412129606606	0.0255009166886242	0.0386074531978774
17	0.0184954868003397	0.0460236788882439	0.0887725378506343	0.148038880225865	0.129982842118367	0.0349239807516457	0.00202455360961596	0.00417380062880264	0.00889446782226191	0.0166687929675455	0.0255391160131269	0.0386585774210086
18	0.0162995184016599	0.0380553280932898	0.0639549013003577	0.101143262855086	0.0854058576746075	0.00451765401817459	0.00202370831539064	0.0041750647054796	0.00890190558714096	0.0166894836948541	0.025569650167274	0.0386970530611479
19	0.0142997573361562	0.038325923128997	0.059875496452503	0.0748476150180676	0.0726138323734415	0.0302701752754826	0.00202363550539598	0.00417618855130979	0.0089057639049226	0.0167084333854603	0.0255934687130232	0.0387266832102546
20	0.0125617600533825	0.0322206927307423	0.0400785825410974	0.0778991626188793	0.114274016974766	0.069505062834203	0.00202344758086468	0.00417842591729266	0.00890810127777501	0.0167227952547545	0.0256126065390127	0.0387522434658416
21	0.0141191831045537	0.0340265403697688	0.0476688093055028	0.0431093671645922	0.0613103806412454	0.115766329213249	0.00202368567310582	0.004180684112321	0.00891039317665806	0.0167349333162251	0.0256284578594088	0.038733286657872
22	0.0123180504277004	0.0350742144565976	0.0431780997958123	0.029920945376274	0.0269423252674722	0.0754225423299542	0.00202387264805708	0.00418073046262716	0.00891289250809794	0.0167403987727504	0.0256498366908766	0.0387242858431389
23	0.0142903124298106	0.034160984091513	0.030153145374614	0.0340856511340352	0.0203099108634107	0.0492601622499825	0.00202430919607201	0.00418184410336376	0.00891392206120744	0.016748686807769	0.0256744700619233	0.0387161408487549
24	0.0150346058479082	0.0260892644456706	0.0204950301262266	0.035301156906558	0.0161144899346386	0.0503109201311862	0.00202437046829922	0.00418158306052139	0.00891715280721463	0.0167571975839286	0.0256869189736605	0.0387103677480416
25	0.013152620499762	0.0222551874326653	0.0281346775735725	0.0472400951215922	0.00694921265243048	0.0468584888262927	0.00202417848970739	0.00418068894003405	0.00891725844900847	0.0167647222072853	0.0256989268360814	0.0387038666380056
26	0.0140187494131861	0.0258912015967297	0.0242097443260987	0.060158067754762	0.0194013515065178	0.0203102334615739	0.00202422892166988	0.00418015513289755	0.0089199143807056	0.01676931605924	0.0257060072724886	0.0386975137786456
27	0.0104400692304096	0.0173945092628724	0.0079311604432958	0.0519967558556754	0.0293892254092487	0.0219063437674872	0.00202376248267581	0.0041783755088875	0.00892207966252435	0.0167725648421174	0.0257105203129585	0.0386933773981283
28	0.00868562127877593	0.0100977986923483	0.0233824594327347	0.060793070393304	0.0204756791688493	0.0279525899158291	0.00202381740192074	0.00417697749853201	0.00892436811874624	0.0167744224532854	0.0257132679144771	0.0386909127869613
29	0.0104515340585946	0.0177699786287438	0.0308217334341977	0.03624450032146	0.0108117005896619	0.0402052985917039	0.00202372309384194	0.00417283423743032	0.00892552804466768	0.0167752049318263	0.0257151312701299	0.0386880384146015
30	0.00970477481974424	0.016104959148325	0.0225535140590842	0.0168971077579617	-0.018000687686327	0.022155588339463	0.00202574726394145	0.00417223637450547	0.00892627598769122	0.0167752274733465	0.0257181213583049	0.0386875945294607
31	0.0123827560126145	0.0217247034028255	0.0189285897866088	0.00338375337563703	0.0113393629068825	0.0427884643864165	0.00202765166802886	0.00417115693681788	0.00892585057433366	0.0167755709120571	0.0257302570103225	0.0386993618475863
32	0.0103258487388525	0.0193344106567114	0.0103947407512865	-0.0134074680677017	0.0406394062816369	0.0583338894534672	0.00202841995066054	0.00417233214557247	0.00892672708715372	0.0167760098398604	0.0257404449561855	0.0387070884204874
33	0.00925614416463647	0.0177215873399745	0.00575026520747768	-0.0122203677387817	0.090548977350888	0.105022253867574	0.00202863887208649	0.00417258704536245	0.00892599499791502	0.0167767636077075	0.0257440717759757	0.0387192861948455
34	0.0100823806324691	0.0154412034892767	0.00290630110779934	-0.015672152862651	0.062141196514305	0.130989750659606	0.00202873824622838	0.00417398415855577	0.00892560438722663	0.0167767233955781	0.0257466287676124	0.0387264947578119
35	0.00848384114254022	0.0118976453355055	0.0168698125380471	0.00463269451426498	0.0316867710520091	0.0946738837008921	0.00202895392870822	0.0041723410447041	0.00892454535451581	0.0167768604443938	0.0257487085183135	0.038730860039476
36	0.00809735975919184	0.012306478786468	0.0231829702796794	0.0195076824911384	0.0290819339808341	0.058031883094408	0.00202826110522473	0.0041681433778261	0.00892159534491955	0.0167743074264058	0.0257485072680501	0.038733485432504
37	0.00897318564996556	0.0125160809955611	0.0166844962553685	0.0110344332115737	0.0105551895091004	0.0297397117713469	0.00202813852231946	0.00416637003164428	0.00891737249581665	0.016774297505772	0.0256877688770936	0.0387286346910859
38	0.0092747297767992	0.00964653954349108	0.00724752662403938	0.00446137423094715	0.00608916684266072	0.0253434344527474	0.00202747730811098	0.00416545125415264	0.00891089489861525	0.0167733028460851	0.0256522573941475	0.03873085374997
39	0.00976088749039576	0.00885682353244522	0.000437804457590436	-0.00298329237071261	0.00528337272328581	0.00838118072743551	0.00202764689502007	0.00416460460844267	0.0089047344351142	0.0167722832127434	0.0256217715792969	0.0387297098605489
40	0.0097134063143674	0.00831292995088525	-0.000928391155973245	-0.00150079606306387	0.00868052825501435	0.0221527143298736	0.00202764771480935	0.00416420680191397	0.00890165096916346	0.0167710340403502	0.0255977898035567	0.0387301672276568
