lagtime	NRF_p<1.01178|all	NRF_p=1.01178-2.02643|all	NRF_p=2.02643-3.05127|all	NRF_p=3.05127-4.07883|all	NRF_p=4.07883-5.10117|all	NRF_p>5.10117|all	se_p<1.01178|all	se_p=1.01178-2.02643|all	se_p=2.02643-3.05127|all	se_p=3.05127-4.07883|all	se_p=4.07883-5.10117|all	se_p>5.10117|all
0.666666666666667	0.00127640728993878	0.00197120864527048	0.00026139892925173	0.0027800067728186	0.00806220093680592	0.0128782323372397	0.000264504556140893	0.00046932086329862	0.000692435997677557	0.000997312231846589	0.00132707683779069	0.00196605777787874
2	0.00105491367965709	0.00216680451099515	0.00223744976387059	0.0105479319455773	0.0142370712652187	0.0164138570628263	0.000173663494341329	0.000304119450364175	0.000485516808770805	0.000739264126682339	0.000993644771933288	0.00152023739870286
4	0.000663205673750574	0.0034109848548039	0.00782674632272925	0.0238536051990474	0.0284865214919776	0.0292037303423505	0.000195621550198407	0.000349689057538019	0.000580572057930913	0.000900258054854873	0.00121951518049848	0.00189037214500835
6	0.000788533174323239	0.00526774873204647	0.0146445802387029	0.0355665545872152	0.0478132216775937	0.0462289598612575	0.000209563729245533	0.000379500095276155	0.000644739933384572	0.0010101657016678	0.00137457441296391	0.00215337436272816
8	0.00126538248735977	0.0071029450171932	0.0199941991240003	0.041479821123841	0.0537357191275463	0.0491154448877837	0.000218095033954677	0.000401263127672	0.000689741619116014	0.00108580424294866	0.00148793546010043	0.00233972603164523
10	0.00201397337368476	0.00843571066855905	0.0212341314772009	0.0376830563616949	0.0446060139862059	0.0412592106051323	0.000222971188937086	0.000416767438017762	0.000722373646642234	0.00113838442240562	0.00157182750433904	0.00246727325651994
12	0.00243538716444011	0.00820187939261485	0.0198873046330901	0.02993730350112	0.0285339929407155	0.0274989332230997	0.000226109695567949	0.000427044521354925	0.000746848991492191	0.00117691212902325	0.0016305916675272	0.00255805986081496
14	0.00265551156939398	0.00763350005973183	0.0174936649502658	0.0235084523244087	0.018980234711517	0.0192168866378738	0.000228114247499562	0.000434948528273332	0.000765367200468595	0.00120511406655966	0.00167434595239663	0.00262455245716701
16	0.0024872811174062	0.00778633948633835	0.0150354797932372	0.0167994101003128	0.0139161440950187	0.0144636353655703	0.000229296058851633	0.000440446655695818	0.000779391662453419	0.00122601425107101	0.00170676297870292	0.00267365977546483
18	0.00211003913428405	0.0071643795355772	0.0144015443864131	0.0130494570203719	0.00997254137170196	0.0128547237569595	0.000230063278827843	0.000444514380174738	0.000789522224494476	0.00124164334635432	0.00172963286600318	0.00270750668050126
