lagtime	NRF_p<1.01178|all	NRF_p=1.01178-2.02643|all	NRF_p=2.02643-3.05127|all	NRF_p=3.05127-4.07883|all	NRF_p=4.07883-5.10117|all	NRF_p>5.10117|all	se_p<1.01178|all	se_p=1.01178-2.02643|all	se_p=2.02643-3.05127|all	se_p=3.05127-4.07883|all	se_p=4.07883-5.10117|all	se_p>5.10117|all
0.666666666666667	0.00133914675074865	0.00201357974830448	-0.000553592506330893	0.00213083872629324	0.00725973766501758	0.0124075850251064	0.000305963186100905	0.000547745048276618	0.00080296882620144	0.00117219292198269	0.0015738754445051	0.00231159920001671
2	0.00103453454388752	0.0021734223550299	0.00192083367095623	0.0114204356678254	0.0151975160385149	0.0162963807045761	0.000199274391628844	0.000352594002604857	0.000558977745801319	0.000858482785171854	0.00116075836191443	0.00176310611833555
4	0.000646447671856694	0.00358828857823603	0.00842060326927574	0.0261059636273172	0.0300934913788994	0.026705287088597	0.000223544057665706	0.000403646910146937	0.000667147737670782	0.00103907536502368	0.00141415040662296	0.00217677617840119
6	0.000649871319676735	0.00556296878595207	0.0158374851241148	0.0395163401821963	0.053554903241091	0.0461501493672688	0.00023930413072508	0.000437912642334933	0.000739376015277956	0.00116291972116476	0.00158912877858695	0.00247290122428959
8	0.00127844701661191	0.00793448388074171	0.0213577670953148	0.0463281425005852	0.0606754550926785	0.0478055199353167	0.000249022198853475	0.000463363523456639	0.000789368390254599	0.00124684051292838	0.00171727232323491	0.00268295641290219
10	0.002151921013475	0.00932180543710658	0.0223414831542172	0.0412667485483975	0.0490116817472323	0.0386978679854235	0.000254499908757616	0.000481140227119925	0.000826015185419166	0.00130433328046594	0.00181203614878483	0.00282432313335406
12	0.00260319311788432	0.00872295381519951	0.0206770333715813	0.0320899535191065	0.0300748863824203	0.0237903854745788	0.00025786837451709	0.000493260259932692	0.000853345458243536	0.00134543405265978	0.00187945392931226	0.00292396851543531
14	0.0027483277728803	0.00789067728582299	0.0180664005923725	0.0250170562277671	0.0198189981790418	0.0159503726539784	0.000260118587447815	0.000502632392669329	0.000874042440218045	0.00137546269997709	0.00192997346066864	0.00299671516266237
16	0.00250794382940531	0.00806562717845321	0.0156370825663426	0.0176621981777447	0.014574625951089	0.0118920053501248	0.000261416220755559	0.000509236530790039	0.00088983567921243	0.00139742319521662	0.00196708545383204	0.00305044839896395
18	0.00202687232006422	0.0074667812533573	0.0150278803853375	0.0136079326430087	0.0108661959536567	0.0112403499480624	0.000262281466156443	0.000514750851765626	0.00090119961333158	0.0014132538114506	0.00199416452568713	0.00308618386968197
20	0.00154948686485671	0.00726001318193186	0.0137731279031263	0.0108825953932237	0.0079042618506568	0.00815474941359207	0.000262873500298429	0.000518391981632324	0.000909521991122763	0.00142490523287349	0.00201304441674356	0.00310985993239023
22	0.00164261548387953	0.00703463871729416	0.0108042573177273	0.00779726159372558	0.00893036945250392	0.00951835806289693	0.000263302317569269	0.000520894546251101	0.000915738041627332	0.00143186500736481	0.00202492644030125	0.0031249771274962
24	0.00183606536519749	0.00655242120233856	0.00827751430659064	0.0060865884642535	0.00792818437563917	0.00981845284056437	0.000263664722756561	0.000522667732078617	0.00092043765331823	0.00143595649851525	0.00203329163793429	0.00313601824785477
26	0.00149549310598798	0.00570587225850535	0.00687422437502263	0.00515461283838361	0.0061852528603955	0.00597838896982248	0.000263796453559403	0.000524027002992821	0.000923979515256122	0.00143865646345393	0.00203974413608318	0.00314390499896053
28	0.00171410693819796	0.00519293617034587	0.00556607883097669	0.0050410728694664	0.00637580241900712	0.00535757454960086	0.000263878536189003	0.000524981540419124	0.000926823006387725	0.00144019080182186	0.00204447516678902	0.00314953393285777
30	0.00151241210556475	0.00444997033739196	0.00435769205013284	0.00436160551885827	0.00620511651311868	0.00475206610458319	0.000263884475668	0.000525647142463918	0.00092887659073474	0.00144112711518161	0.00204798154137611	0.00315355436479357
