lagtime	wtd_avg_RRD_p|all	se_p|all
0.666666666666667	0.0016667298767424	0.000357413627873319
2	0.00184778244240934	0.000216153319920724
4	0.00261592103647596	0.000234182762664025
6	0.00398870222789953	0.000244685123589634
8	0.00548668850121264	0.000250597799581481
10	0.0062929661582009	0.000253236625196114
12	0.00604872550178824	0.000254693117703597
14	0.00560165187973794	0.000255550683699568
16	0.00506351843649649	0.000255849217471676
18	0.00438449842023124	0.000256113700997578
20	0.00375716747468041	0.000256250943775737
22	0.00358245596218209	0.000256312794908955
24	0.0034781360858713	0.000256362041298992
26	0.00289472800750303	0.00025634765135814
28	0.00291755824064739	0.000256380041196536
30	0.00252290057831876	0.000256396123926735
32	0.00221535443230671	0.000256453541173305
34	0.00217585357297105	0.000256461798663748
36	0.00215041292033209	0.000256548232087277
38	0.00212873625114935	0.000256630299050687
40	0.0021296110799887	0.00025675116283453
42	0.00195903008334017	0.000256860851028969
44	0.00153242458477566	0.0002570069535906
46	0.00180103666329955	0.000257030116786944
48	0.00186685344872641	0.000257063252110279
50	0.00163988750661507	0.000257038560120762
52	0.00222487557726226	0.000256985065856599
54	0.0024172993560444	0.000256963146279664
56	0.00176496778481219	0.000256571459422253
58	0.00164635869916118	0.000255796882678161
60	0.00184963208175867	0.000254665315637251
