lagtime	wtd_avg_RRD_p|all	se_p|all
0.666666666666667	0.00182088507397004	0.000717451390649738
2	0.007066751732228	0.000409619252312008
4	0.0137896619982015	0.000431326656595219
6	0.014033501475632	0.000441919364276969
8	0.0141638328856518	0.000447095335514328
10	0.0122783518201761	0.000449888297336063
12	0.0104555806308381	0.000451226270560508
14	0.00920919424278409	0.000451452762650543
16	0.00798229933718385	0.000451546239441435
18	0.00754251033394739	0.000451204189349992
20	0.00765727506118455	0.000451061386500332
22	0.00611344754178085	0.000450889977924791
24	0.00566126281732597	0.000450870447509331
26	0.00452975764302414	0.000450718273982402
28	0.00461402948200058	0.000450599568293437
30	0.00452815098231441	0.000450527158510903
32	0.00426855383170536	0.000450309361686512
34	0.00468642372523961	0.000450059335505232
36	0.00445084318426339	0.000449966748862086
38	0.0048066685201848	0.000449966209965713
40	0.00456561720316772	0.000449917535190799
42	0.00346202799064979	0.000449981028874994
44	0.00332332407968857	0.000449994120520295
46	0.00347207163833612	0.000450043819289905
48	0.00411275030955957	0.000449975079576682
50	0.00365604285148937	0.000449734340632083
52	0.00229420372799795	0.000449429792088218
54	0.00386861070269774	0.000449038216088118
56	0.00300014456554573	0.00044859687827022
58	0.00267027289138975	0.00044774903604761
60	0.00293061525038259	0.000446197142922186
