lagtime	NRF_p<1|all	NRF_p=1-3.5|all	NRF_p=3.5-5.4|all	NRF_p=5.4-7.3|all	NRF_p=7.3-9|all	NRF_p=9-11.5|all	NRF_p>11.5|all	se_p<1|all	se_p=1-3.5|all	se_p=3.5-5.4|all	se_p=5.4-7.3|all	se_p=7.3-9|all	se_p=9-11.5|all	se_p>11.5|all
1	9.56416495000232e-06	0.0237753254737641	0.072627774555383	0.1280825822614	0.18308869223736	0.255167873067404	0.600904509336524	0.000255717694944752	0.000406370686931125	0.000700612886417072	0.00106095151840069	0.00151829204116327	0.00174463336828188	0.00239625802810041
3	-0.0010760030617691	0.02763985946337	0.0856160499111597	0.141354097727795	0.194387130574179	0.25254150676326	0.595787684764908	0.000158503105205694	0.000246914683532067	0.000472574536406244	0.000755446722016389	0.00111247030105002	0.00127599758259985	0.0017453064582684
6	-0.00034181051555435	0.0338871660290328	0.0916082015156122	0.139602520108519	0.191461974474877	0.236848271475465	0.505481110718295	0.000172267515104002	0.000267930929488684	0.000545991953245115	0.000892540255990316	0.00133581712943968	0.0015218861656832	0.00207691715753818
9	0.00141006351638176	0.0360071221325196	0.0867814838682211	0.123902344760992	0.162488103808198	0.192893179417589	0.397367858976815	0.000179276580753358	0.000279340202118128	0.000590336914750529	0.000976600695345325	0.00147769581377022	0.00167737769664051	0.00227927460418496
12	0.00305982158642225	0.0350256370883318	0.0793436364198476	0.105527511195113	0.129743772727129	0.15138976403635	0.31673255724819	0.00018347259830421	0.000285823584921258	0.000618052910504143	0.00102811012547614	0.00156918348970537	0.00177430401648201	0.00240544796994557
15	0.00414368473936067	0.0328774325271145	0.0707508351869945	0.0897439096896693	0.109462897876685	0.128867216803233	0.256243069762596	0.000186025003214835	0.000289655599351173	0.000635664995100068	0.00106097629791503	0.00162697255610018	0.00183530900855894	0.00248709726314026
18	0.0048006134010217	0.0294776205256167	0.0602637950969081	0.0761429375825417	0.09077668450162	0.101546508975212	0.216504429863486	0.000187576635620101	0.000292132972243344	0.000647291195780826	0.00108184632301368	0.00166468985644056	0.00187742612154341	0.00253009991353218
21	0.00493131907061343	0.0262865489354626	0.0509330539121662	0.0656614873489348	0.0758348659590769	0.0799099759267843	0.192413676648118	0.000188547281871669	0.000293987070699036	0.000654853489628563	0.00109517163788	0.00169036311127908	0.00190628678882677	0.00255710139853043
24	0.00460173495047274	0.0234088887625827	0.0443134102129968	0.0541700797397992	0.0617505992143751	0.065986266599018	0.157793217612157	0.00018912502837105	0.000295163829495398	0.000659559290826044	0.00110428191536077	0.00170752604083018	0.00192578649832909	0.00257458802927527
27	0.00443243100122806	0.0204615908677384	0.0385512560658751	0.0455870387166153	0.0492942377222087	0.0555780042722607	0.125404900684146	0.000189527590144623	0.000295902361286364	0.000662762841701787	0.00111060163955404	0.00171875831037399	0.001938994039038	0.00258637068615477
30	0.00447384862047059	0.0182226375122253	0.0329771575954109	0.0380056892808815	0.0417556361385254	0.0497790589491484	0.104336417994969	0.000189821165680359	0.000296468098653489	0.000664590666602628	0.00111474882659927	0.00172644057935335	0.0019481105159616	0.00259476798918462
