lagtime	wtd_avg_RRD_p|all	se_p|all
1	0.0131817096492967	0.000164494339976019
3	0.0141207491824844	9.43434751278462e-05
6	0.0152564816296113	9.83721899982276e-05
9	0.015109272688367	9.97217205458869e-05
12	0.0143350107283937	0.000100248924177908
15	0.013384088885305	0.000100449606620343
18	0.0120725499645664	0.000100521163945336
21	0.0107932957408606	0.000100557670453505
24	0.00948112834231429	0.000100574114704911
27	0.00833150445124045	0.000100589944519425
30	0.00749879727027139	0.000100614853736299
33	0.00676410036479733	0.000100636124815063
36	0.00631118696799205	0.000100644289898257
39	0.00559302573453131	0.000100649873285957
42	0.00512839412170019	0.000100649243758664
45	0.00468223783572762	0.000100662027192588
48	0.00402677687344228	0.000100671690925065
51	0.0037069460727077	0.000100681116085501
54	0.00325542196909945	0.000100688684591695
57	0.0030195879049948	0.00010070041099372
60	0.00266917398391422	0.000100705156390873
63	0.00260937608233458	0.000100700005775745
66	0.00229810555230674	0.00010070623795332
69	0.00200484726245897	0.000100718295595068
72	0.00209457742493805	0.000100724228981409
75	0.00192605841568911	0.000100719995848007
78	0.00170094634700991	0.000100720965137887
81	0.00161633410694307	0.0001007237075262
84	0.00162652229284724	0.000100714234436809
87	0.00146260989439413	0.000100706288453506
90	0.0014601434342454	0.000100697729016612
93	0.00123698070935276	0.000100698273718037
96	0.00112470450007099	0.000100699097110364
99	0.00109797638294626	0.000100700847102449
102	0.00110435629150469	0.000100683030595745
105	0.00108395162859568	0.000100657402062919
108	0.0010062631438524	0.000100620785797652
111	0.000971109871187853	0.000100561123962217
114	0.00118391181366856	0.000100467978908553
117	0.00106307052258287	0.000100295310939308
120	0.000997022304730797	9.98822216631108e-05
