lagtime	NRF_p<1|all	NRF_p=1-3.3|all	NRF_p=3.3-5|all	NRF_p=5-6.6|all	NRF_p=6.6-8.3|all	NRF_p=8.3-10.2|all	NRF_p>10.2|all	se_p<1|all	se_p=1-3.3|all	se_p=3.3-5|all	se_p=5-6.6|all	se_p=6.6-8.3|all	se_p=8.3-10.2|all	se_p>10.2|all
2	0.00165768595345577	0.00805439284588364	0.018153131415896	0.0281064269671133	0.0359650047715841	0.0441604355096478	0.0907447039459371	4.65486627952389e-05	7.47558343913625e-05	0.000137815553131562	0.00023023301443021	0.000342562866621203	0.000460523364074265	0.000627181371695965
6	0.0012244839103662	0.00799922319287157	0.0185525222782091	0.0300624537765693	0.0413523823091372	0.0532738055670245	0.106764845401646	3.19360472824988e-05	5.03856386761652e-05	0.000103957443070359	0.000181843356951946	0.000272131695304339	0.00037066753737529	0.000505979415954149
12	0.00110016958077684	0.00873949117163797	0.0199847098968254	0.0314709932489016	0.0435410628701933	0.0559956455880699	0.104126234272528	3.77553902128108e-05	5.90338429985927e-05	0.00013014045570483	0.000232890827312333	0.000347726007924969	0.000475038238959506	0.000650675256214999
18	0.00126438633024496	0.00923548950327265	0.0203498006820676	0.0311604803406555	0.043304999432443	0.0543711763143749	0.102823079738631	4.19413242746441e-05	6.53992814610412e-05	0.000150436740456452	0.000272798379964437	0.000406925667105772	0.000555636740400335	0.000751328149662968
24	0.00134449243620294	0.00937168612541202	0.0198212659325898	0.0295847507133955	0.0410106032926005	0.052793152378881	0.101590163126385	4.5085944292168e-05	7.04479185184344e-05	0.000166447411316379	0.000304634232953393	0.000454513102873495	0.000620080594170457	0.000829104496508773
30	0.00137456702397615	0.00914795825379685	0.0191694735146132	0.0277478564190023	0.0373946297824813	0.0494714176824852	0.094123655567271	4.7581660145815e-05	7.44855030070162e-05	0.000179362849824303	0.000330540919866045	0.000493419930506193	0.000672695658139462	0.000891946451786516
36	0.00142821512041455	0.00891353607522375	0.0185360949540407	0.0260146027066527	0.0344985952392512	0.0469926633625587	0.0861140539681595	4.96178214222202e-05	7.78433532986571e-05	0.000190008835994661	0.000352129637301033	0.000525768446270462	0.000715666577838086	0.000943085511682591
42	0.00151142167437589	0.00863993227389746	0.0175323860687454	0.0241023504647448	0.0317933219554064	0.0434172397480269	0.0786307716405751	5.13132812792959e-05	8.06811292832101e-05	0.000198876231165939	0.000370342181181629	0.000553022683777345	0.000751152317628613	0.000985153794813037
48	0.00158424722042498	0.00825803684476419	0.0164278908823103	0.0222231750138536	0.0296072752226911	0.041008310291539	0.0724167352634862	5.27245295610018e-05	8.31302683306734e-05	0.000206360856334644	0.000385817978757968	0.000576113344891721	0.000781286172378217	0.00102085508166278
54	0.00155199821795823	0.00785885541110285	0.0154485225018637	0.0205877470389583	0.0277348793912168	0.0380819314656443	0.0653264973431056	5.39321812581115e-05	8.52051907460373e-05	0.000212701559745471	0.000399106434589976	0.000595979484023233	0.000807270554934329	0.00105188757742185
60	0.00152270668356167	0.00747066336115855	0.0144827267343656	0.0190228486983324	0.0254417516948703	0.0345335907466631	0.0584292373375887	5.49618770041211e-05	8.70040250142255e-05	0.000218081276371851	0.000410449757641569	0.000612691498052388	0.000828675191940031	0.0010787976992644
66	0.00150675344730583	0.00712863152711187	0.0135834702034074	0.0179446713355991	0.0241988070590885	0.0325041241804058	0.0533526575854517	5.57948434527844e-05	8.85404987210851e-05	0.00022267659839857	0.000419864412910315	0.000626870188343765	0.000847004247740223	0.00110214594283292
72	0.00143910807205274	0.00674406328783562	0.0126850277532842	0.0167847829515994	0.0227149882083752	0.029803565821377	0.0487648651767564	5.65239934564357e-05	8.98206165569797e-05	0.000226534098788336	0.000428009080578813	0.000638944404634308	0.00086313572995964	0.0011204717620899
78	0.00146311315713475	0.00643080215232177	0.0118553780000933	0.0158881864102662	0.0214454624993842	0.0272159453974199	0.0474179987017298	5.71459553432904e-05	9.09154637856897e-05	0.000229887485333459	0.000435092645822981	0.000649390964967473	0.000877299805812059	0.00113593393988097
84	0.00142413924459455	0.00604394232117545	0.0111346047408822	0.014895767950738	0.0199318421431103	0.0252486594106675	0.0431970514164035	5.77025598945172e-05	9.19288421415289e-05	0.00023291753574983	0.000441356289562534	0.000658576716747748	0.000889629977517709	0.0011492226652321
90	0.00144925598578632	0.0057508730329312	0.0102651268027973	0.0140853504678179	0.0187412790135432	0.0232305389228372	0.039825043593425	5.81787607307381e-05	9.27851307125939e-05	0.000235590384582132	0.000446766217609461	0.00066646786288058	0.000900402275763775	0.00116082946971562
96	0.00137507576038582	0.00540297844998987	0.00949269541987379	0.0130945816213787	0.0173985682353127	0.0216813092813784	0.0360200203877758	5.85976988887644e-05	9.35141262940646e-05	0.000237921152607298	0.000451451974547189	0.000673312409443418	0.000909819538714439	0.00117097628473843
102	0.00133302363410614	0.00513668083789033	0.00890923863259348	0.0123106486183852	0.0163050506723027	0.0202378461261786	0.0328602192346914	5.89357714607931e-05	9.41637554538228e-05	0.000239946273686106	0.000455588627814834	0.000679331823483558	0.000918145228106779	0.00117992300964109
108	0.00127745270522886	0.00489669660732052	0.00862556291423835	0.0116603486081517	0.0151495539466893	0.0189181014642447	0.0298613694842095	5.92336226104933e-05	9.47335336705547e-05	0.000241673238085474	0.000459148830066561	0.000684585682100055	0.000925441081188355	0.00118787333265368
114	0.00127747800491201	0.00461203167063109	0.00813916708196281	0.0108826746010645	0.0139312130473057	0.0175460278753835	0.0275143154010551	5.9496083458639e-05	9.52097524696818e-05	0.000243109091778868	0.000462259443823702	0.000689224331073404	0.000931869208695385	0.0011949017511698
120	0.00125854716563711	0.00437760845414953	0.00778217973182552	0.0103957126880945	0.0130123221501337	0.0163344887133575	0.025458056277397	5.97348497361328e-05	9.5608370263979e-05	0.000244328343277175	0.000464927378190079	0.000693249742047389	0.000937531277319169	0.00120108686540278
126	0.00117429345021562	0.00418149421529931	0.00736644430819996	0.00970814139478419	0.012229670439565	0.0154545645401933	0.0234164824580943	5.99379511418199e-05	9.5944224220973e-05	0.000245411195204717	0.000467243171643426	0.000696670993989642	0.000942575810434187	0.00120652801154113
132	0.00116383507143235	0.00393334941222208	0.00709173891215589	0.00955089382223119	0.0117895065067616	0.0145442117940984	0.021504578665855	6.01144430413904e-05	9.62416460929997e-05	0.000246375969598584	0.000469227191069479	0.000699503514582958	0.000946943655784799	0.00121133449566392
138	0.00114036826236284	0.00372984226803983	0.00649376214553994	0.00912284404424391	0.0114322258720054	0.0133332334631086	0.019614077928176	6.02664578604633e-05	9.64722797924032e-05	0.000247228687616927	0.00047096655563706	0.000701974225857445	0.000950653691614732	0.00121531008217792
144	0.00114491595252345	0.00364413802264647	0.00620734444428505	0.00863630826756555	0.0107885602897577	0.0124415019547825	0.0180891579119668	6.03831340315567e-05	9.66651040374817e-05	0.00024797136767901	0.000472446892060377	0.000704189516147409	0.000953881845347535	0.00121873923784463
150	0.00106122562272324	0.00349262351310868	0.00574752171412996	0.00769530304508927	0.0100001779960104	0.0118151005706322	0.0165672495154454	6.04854176647041e-05	9.68380206962083e-05	0.000248609588996842	0.00047378922402832	0.000706047837115624	0.000956810957568132	0.00122176136779994
156	0.00106208913003667	0.00336354704893381	0.0054122261300752	0.00730243168143385	0.00995525328615761	0.0114526586576052	0.0151902873940136	6.05793666858696e-05	9.69836105911619e-05	0.0002491506254107	0.000475068550686672	0.000707713658324723	0.000959455060557194	0.00122449714932328
162	0.00105502995394624	0.003203932098409	0.00502373597868455	0.00660515830532595	0.00978109639232331	0.0116259386284304	0.014256198989159	6.06666341948841e-05	9.71080335860713e-05	0.000249677196219372	0.000476218824492089	0.00070912643601215	0.000961580419069462	0.00122695873671341
168	0.000999706638649343	0.00302731610767427	0.00480055552208055	0.00623307474605311	0.00963222062155044	0.011848145329992	0.0132964174754247	6.07418653047388e-05	9.72115548985667e-05	0.00025013611938355	0.000477177262282181	0.000710339829984351	0.000963481860920809	0.00122911910875834
174	0.000962933993934264	0.00285141868936352	0.00451951420958705	0.00578738560929417	0.00867830105290217	0.0114322118559721	0.0146682907985884	6.08024374757791e-05	9.73066184519657e-05	0.000250528458592415	0.000477974095885346	0.000711368659581081	0.00096515671741257	0.0012307041851262
180	0.000935952985462796	0.00269754270119554	0.00420755801751935	0.00542331687498598	0.00801971132982962	0.0110887791021501	0.0148514282221255	6.08553622731739e-05	9.73854623917713e-05	0.000250860876000538	0.000478573103307506	0.000712139921432737	0.000966609007859703	0.00123206249431957
186	0.000913819874286348	0.00263133774143935	0.00398035653090246	0.00515954488660897	0.007870924351423	0.0104674206477453	0.0139971149124519	6.09025410767825e-05	9.74415989455961e-05	0.000251147328011817	0.000479026396726496	0.000712759444900629	0.000967996081116371	0.00123321109603562
192	0.000854370752239039	0.00242782825232513	0.00362899969777099	0.00490796348586133	0.00824498907155374	0.0104974065568784	0.0121897685376518	6.09377345538782e-05	9.74788049412102e-05	0.00025141596460887	0.000479398616591275	0.000713332047305502	0.000969156013301772	0.00123419722494471
198	0.000837504142324844	0.00232686444650072	0.00351544888271781	0.00487109138503111	0.00762139340407853	0.00997570596915389	0.0117174974074376	6.0970006062406e-05	9.75017814700271e-05	0.000251647431161322	0.000479737880728894	0.000713848354842463	0.000970247668052013	0.00123502316079155
204	0.000805898954041835	0.00219932416547991	0.0033665998376497	0.00485939645529686	0.00705379066998013	0.0102142248754294	0.0120205763618398	6.09913665961203e-05	9.75172584703428e-05	0.000251841026781508	0.000480045147600916	0.000714304026748579	0.000971281102213646	0.00123576149871104
210	0.000844128311182982	0.00217549439546168	0.00325480364164689	0.00466094034349544	0.00646726713796422	0.00919601063229559	0.0106494731509698	6.10073875078851e-05	9.75300377655772e-05	0.000252010225562496	0.000480316634478253	0.000714711072092349	0.000972215160637698	0.00123640399448962
216	0.00077217629641731	0.00198010500362272	0.00293976653046552	0.00434157991761562	0.00622342933069158	0.00808956135599269	0.0093510271672581	6.10190596565974e-05	9.75382920382754e-05	0.000252140364956475	0.000480537104543635	0.000715069364963551	0.000972939223548479	0.00123702716722742
222	0.000775867403978171	0.00190521058652792	0.00272093358026275	0.00397145214190724	0.00555961387350681	0.00724162913272381	0.00854643528211201	6.10215856922841e-05	9.75529582571359e-05	0.000252235724131657	0.000480754564886661	0.000715393023085231	0.000973542258895037	0.00123755831179958
228	0.000737651889651481	0.00185357897624115	0.00260511638658858	0.00372870144937106	0.00532721368592205	0.0067726181835244	0.00807115139222714	6.1008628520252e-05	9.75568964842681e-05	0.000252317627962495	0.00048090929766625	0.000715624658342405	0.000973966937023605	0.00123803596165063
234	0.000696494244217181	0.00179127022584883	0.00239969474479356	0.00342207748526511	0.00445508484456853	0.0053233097690126	0.00735420670746825	6.09746071748807e-05	9.75253379620693e-05	0.000252373105836383	0.000481044401545704	0.000715752730954704	0.000974426889123438	0.00123841162993444
240	0.000655736039957263	0.00174696144718141	0.00233341350117093	0.0032043115906873	0.00430424737926839	0.00523986275430726	0.00690852676334901	6.08916589800047e-05	9.74501292668687e-05	0.000252387781816023	0.000481119143087704	0.000715903067070956	0.000974886177697703	0.0012382646699898
