lagtime	wtd_avg_RRD_p|all	se_p|all
2	0.00399829533096844	3.46727228339741e-05
6	0.00391983546587015	2.20409446086764e-05
12	0.00409712668099265	2.48244970119444e-05
18	0.00427318972555446	2.66150266644291e-05
24	0.00427747308572686	2.78446687936285e-05
30	0.00415116142275375	2.87494489628732e-05
36	0.00404108051860303	2.94662502713556e-05
42	0.00391879290293951	3.00496694848091e-05
48	0.00377609139281926	3.05243457941774e-05
54	0.00358606555562325	3.09222077655218e-05
60	0.00339739116453992	3.12579844554232e-05
66	0.0032481052113524	3.15122436114369e-05
72	0.00306231658527077	3.17200487177069e-05
78	0.0029489271769607	3.18888167084359e-05
84	0.00278851170553943	3.20580688476865e-05
90	0.00267742079096558	3.21897859854055e-05
96	0.00250965987999321	3.23015000088348e-05
102	0.00238629214666372	3.23844377011475e-05
108	0.00227533288867887	3.24591476011142e-05
114	0.00217325008329827	3.25216021069585e-05
120	0.00208385919051388	3.25752634406048e-05
126	0.00196829237090265	3.26210368085739e-05
132	0.00189144389294336	3.26596985565578e-05
138	0.00180100521595327	3.26934285766177e-05
144	0.00175880479997181	3.27161551337942e-05
150	0.00164931772833865	3.27353634280166e-05
156	0.00160116758323534	3.27521833043603e-05
162	0.00153924442647141	3.2766733882629e-05
168	0.00146215424034909	3.27710067965773e-05
174	0.00139001171980164	3.27762932728888e-05
180	0.0013258663581438	3.27814757061545e-05
186	0.00128511353384125	3.27833704654245e-05
192	0.00119739923209653	3.27780582338732e-05
198	0.00115866013926725	3.27712952030763e-05
204	0.00111151690248866	3.27633843648176e-05
210	0.0011082845027015	3.27513768735408e-05
216	0.00101083888779215	3.2735590250435e-05
222	0.000976245699417317	3.27184585269977e-05
228	0.000936296629224386	3.26905977967737e-05
234	0.000881564212691183	3.26395314627836e-05
240	0.000845936725139556	3.25381006848936e-05
