lagtime	NRF_p<1|all	NRF_p=1-3.5|all	NRF_p=3.5-7.2|all	NRF_p=7.2-11|all	NRF_p=11-18|all	NRF_p=18-25|all	NRF_p>25|all	se_p<1|all	se_p=1-3.5|all	se_p=3.5-7.2|all	se_p=7.2-11|all	se_p=11-18|all	se_p=18-25|all	se_p>25|all
0.666666666666667	0.00218336415055995	0.0360412835016496	0.14290295348371	0.318214657829491	0.572037253999244	1.21180223242495	2.84848225497529	0.000638752658646392	0.000977331826163705	0.00153056189098694	0.00264964243275551	0.00420877703394265	0.00735294147628874	0.0147642801961783
2	-0.0024343411324667	0.0280906588239971	0.144070683171916	0.310140334083106	0.536351710160576	1.2378372389431	2.4710881013933	0.000401844814576789	0.000593101108148964	0.00100163961707955	0.00193885363417298	0.00315563111502318	0.00554531038051116	0.0115028213521315
4	-0.00318867370259525	0.0362074492769276	0.16444237261989	0.329460122838354	0.511732256673496	1.03935085232455	1.88705228557233	0.000434343342701928	0.000634519561570049	0.00113013293034088	0.00230656546109761	0.00378785973772	0.00669865780739394	0.0141201856416943
6	-0.00175421518132164	0.0421574844610219	0.154697337154875	0.268784779877197	0.404911637059345	0.703400511635361	1.26777529219039	0.000447239250760838	0.000651817168431987	0.00119834675457814	0.00251478420115748	0.00415550701445854	0.00738031180320506	0.0157099703947201
8	0.000570975735198993	0.0448856118708357	0.137057770201218	0.200510680375509	0.28609085839123	0.470938523483503	0.867608861374621	0.000453078751826967	0.000659941070306601	0.0012355419170292	0.00263218568332127	0.00436324169990942	0.00777614477160121	0.0166440929839631
10	0.00139142317100901	0.0428831713493616	0.11711046007839	0.152866136539369	0.202863824913057	0.354022019744087	0.590264895750161	0.000456308299470092	0.000663822880602522	0.00125497178642938	0.00269824423793056	0.0044809293528396	0.00799772818365126	0.0171860797196834
12	0.00341324633747765	0.0416063489509655	0.100046001632614	0.120556789260711	0.14692110486339	0.293895394081003	0.449035684362161	0.000458650009271848	0.000665788653551238	0.00126505334908854	0.00273429188808233	0.00454632502848422	0.00811700641918903	0.0174957428531543
14	0.00530272882764033	0.0380649248159339	0.0855418920042704	0.10596624584289	0.113159355050264	0.225971449632197	0.364641917655038	0.000460191290941109	0.000667127990241689	0.00127019253090804	0.00275375133652544	0.0045801514021139	0.00818131635465651	0.0176707246250196
16	0.00607259022656687	0.0343302483170515	0.0696716508023146	0.085256188955707	0.0853172853343079	0.200292682728196	0.316557619464022	0.000461192599838435	0.000667987749920117	0.00127269990034025	0.00276284711958069	0.00459715616253692	0.00821323367205344	0.01776813652291
18	0.00583274640586349	0.0297075606616834	0.0576890797755557	0.0709879711201122	0.0730239204849527	0.16243471310208	0.438044857436425	0.000461938518385993	0.000668516757744092	0.0012736426393312	0.00276717682605712	0.00460639802234645	0.00823238257333543	0.0178196884123575
20	0.00513403242485584	0.0255054486242922	0.050598744367742	0.0643562561561218	0.0623496769188773	0.144341733298305	0.490103363982056	0.000462416860301027	0.00066898277407379	0.0012740937777158	0.00276953236878998	0.00461204925921709	0.0082432158316457	0.0178547368204527
22	0.00560575474276018	0.0243386791044737	0.0452943889639791	0.0492107941762439	0.0518128578235179	0.111713442234841	0.448901367071325	0.000462786790194898	0.000669227199654709	0.00127430004107464	0.0027709786303222	0.00461567404669125	0.00824898290253478	0.0178797247147705
24	0.00504381346159179	0.0220443822436336	0.0384418297804478	0.0424825105283728	0.0440410132287449	0.102451754167848	0.307708250244573	0.00046304246162898	0.000669481463957974	0.00127441069834996	0.00277182674030861	0.00461769901036697	0.00825234170195279	0.0178956614578273
26	0.00451185342772606	0.0200014470883935	0.0317705733526983	0.0333183588869729	0.0356279690274717	0.0867128889937632	0.198028808033128	0.000463208239775154	0.000669656550368219	0.0012744520651518	0.00277218621539903	0.00461883653442224	0.00825436602050425	0.0179057021340502
28	0.00417135681289491	0.0173672863124515	0.0286322620083714	0.0309440360106223	0.0303156470881326	0.0831777500155734	0.168375106388876	0.000463322888979999	0.000669763719166047	0.00127450681306697	0.00277228155761386	0.00461943603800742	0.00825595209899911	0.017912730995151
30	0.00411025416344755	0.0176992876489481	0.0272145780734826	0.0271841037318851	0.02632997201485	0.0819547272073896	0.144427164332222	0.000463457323115656	0.000669877509514293	0.00127455475292861	0.0027723491377345	0.00461989060762727	0.00825716940507209	0.0179171100275663
32	0.00366348367509817	0.0156354931219423	0.0230985430174503	0.0203969691943581	0.0218688220610608	0.0708045142107422	0.114661996746671	0.000463615116281342	0.000670033261438901	0.00127459151690946	0.00277240662202917	0.00462012873189444	0.00825819734622371	0.0179194928271775
34	0.00419884550566143	0.0159338019224681	0.020863149063554	0.0201475684006568	0.0234424407821998	0.0688063220315308	0.104797306109686	0.000463721142162324	0.000670070857843632	0.0012746058732748	0.00277240446926765	0.00462028150883007	0.0082590921541253	0.0179205810243495
36	0.00400247066512601	0.0147812545453556	0.0215772672290703	0.025187365544003	0.0373510860057004	0.067195444746566	0.0865614026679441	0.000463774441965698	0.000670108291474609	0.0012745833851536	0.00277234699760757	0.00462061102168344	0.00825961341381074	0.0179211003447165
38	0.00390282564181361	0.012946253827251	0.018336021819444	0.0186006168855577	0.0384756058835514	0.0652487286400975	0.0844369347472967	0.000463793779201672	0.000670096835550413	0.00127454119531005	0.00277227583168819	0.0046209357272178	0.0082595604541554	0.0179219562996368
40	0.00364744728897198	0.0109185313631847	0.0165574426486505	0.0162242989750602	0.0284212495978552	0.0468781954818225	0.0799623585746881	0.000463800760529241	0.000670075760342843	0.0012745143066748	0.00277223382057703	0.00462108500322842	0.00825729128528663	0.0179218665132298
42	0.00343146187070112	0.00946704229533518	0.0145954464715903	0.0144282564129988	0.024439007411772	0.0371983300544284	0.0688975469776432	0.000463788116051506	0.000670067966243936	0.00127449381582661	0.0027721844154989	0.00462108399889088	0.00825499753830922	0.0179228077819522
44	0.00397516579574302	0.0104613576383308	0.0156273712603603	0.0148426059898001	0.0198393657086543	0.0313997173866837	0.0662066655652901	0.000463783612793934	0.000670067144567155	0.00127445187353383	0.00277219685618748	0.00462107964788175	0.00825312689704776	0.0179228652004749
46	0.00456979921063254	0.00999145360363359	0.0139789457044666	0.0137348008645276	0.0167831059911681	0.0120208768738234	0.0439145835682182	0.00046379008596114	0.000670062389743016	0.00127439199282304	0.00277223882655844	0.00462097551162132	0.00825225501853765	0.017924893963468
48	0.0046381807217943	0.00912889422867462	0.0125233165949003	0.0134859578758939	0.00950219968622992	0.0400251784373319	0.124880631061552	0.000463793869926669	0.000670070393936929	0.0012741424009251	0.00277220971923773	0.00462088573312162	0.00825290491843077	0.0179298168076118
50	0.00353162005789146	0.00770099572070745	0.0113917161089669	0.011994121714308	0.0100135530272534	0.0287547113865096	0.0975375716617078	0.000463790561564727	0.000670060699232974	0.00127396732424119	0.0027721664401284	0.00462082283460996	0.00825392429062737	0.0179350755670218
52	0.00301466747574281	0.00769627842301976	0.0122913385924748	0.0122351309659663	0.010700871184902	0.0285790257341929	0.082449914903989	0.000463785511256293	0.000670067405322598	0.00127387165492892	0.00277204526084076	0.00462083881845962	0.00825459718225063	0.0179388471412684
54	0.00247586196242289	0.00712178636658109	0.011838395721885	0.0102006865792931	0.00948162337147053	0.0221107299080301	0.0601796691156482	0.000463792428495844	0.000670056234874865	0.00127381529381151	0.00277200387452504	0.0046209329532288	0.00825514562366544	0.017941227805514
56	0.00246484000270132	0.00684277710666473	0.00995339348371564	0.0070631650044233	0.00747269016001568	0.0182802110050825	0.0518862806594567	0.000463786241136067	0.000670014517403363	0.0012737720165664	0.00277194436376942	0.00462112832269547	0.00825527538006564	0.0179429789284079
58	0.00231926253438984	0.00628318588325207	0.00933010262847437	0.0106736466635971	0.00874665438257303	0.00864951907237767	0.0453779367694995	0.000463751542442239	0.000669977961098027	0.00127374579567189	0.00277170560431724	0.00462130129537207	0.00825536554396437	0.0179440609622968
60	0.00280712943100481	0.00643161971398793	0.00876629590796444	0.00884914399269821	0.00910697952036484	0.00703813941475856	0.0335764863603072	0.000463727565251414	0.000669926674247337	0.00127371010361135	0.00277142640725137	0.00462150108504092	0.00825541399841511	0.017944475271849
62	0.00272760671016526	0.00644474130403886	0.00789929211139792	0.0083677158307125	0.0112087477126975	0.00928887979745048	0.0278399981293515	0.000463679043076688	0.000669867709699746	0.00127367662050497	0.00277124717886393	0.00462167770166118	0.00825537043128239	0.0179446134692127
64	0.00282143982016329	0.00636756852918284	0.00870579775270952	0.01205074983692	0.0144301004541819	0.0115075292648882	0.0295985842251035	0.000463623159589125	0.000669813647984522	0.00127363108098892	0.00277105325239591	0.00462187714499044	0.00825519965885519	0.0179447313994916
66	0.0026675483036866	0.00643292621348432	0.00884260905532935	0.0119138081919813	0.0120393346890396	0.0356754029583094	0.0720388904005617	0.000463552139633376	0.000669754520935636	0.00127343672753886	0.0027704462388525	0.00462195772020797	0.00825488717366062	0.017944853772954
68	0.00245001210569835	0.00677827145185542	0.0115398797265822	0.0109300289189166	0.00922153591796241	0.0262540860720247	0.0603870499421766	0.000463490157173712	0.000669676030640727	0.0012732259440386	0.00277007795318234	0.00462187980284474	0.00825063609201364	0.0179446273220509
70	0.0022635475043136	0.00547293913100655	0.00791109108148314	0.00401970611214243	0.0049814042382857	0.0230494060363588	0.0395714558659727	0.000463408945022167	0.00066962377397944	0.00127295742628853	0.00276971402931352	0.00462150810483503	0.0082447607731959	0.0179454632576211
72	0.00316319100129004	0.00661007562969483	0.00898990196117937	0.00580798039980926	0.00751145524739508	0.0201854038482683	0.0391208363870313	0.000463241902390342	0.000669529571037058	0.0012726950108099	0.00276933289624256	0.00462110229886876	0.00823910302036747	0.0179469714136775
74	0.00353750363586783	0.00653279216018323	0.00935346814689163	0.00793385085059994	0.0109461323017737	0.0155930926863819	0.077172459738206	0.000462969982382468	0.000669310847704451	0.00127235799645733	0.00276891592303368	0.00462060315557981	0.00823511512718431	0.0179527120731934
76	0.0032280136208438	0.00612190452072646	0.00837803997865953	0.0071995120130773	0.015423541099437	0.00662383474822116	0.19672058452359	0.000462648249537497	0.000668902292828968	0.00127163810420233	0.0027686120672759	0.00462024850038371	0.00823253926796257	0.0179587974017781
78	0.00307995524242995	0.00586930545213873	0.00791054418754918	0.00525938427740823	0.0150172237276744	0.00634300386108514	0.21327241309288	0.000462157306140144	0.000668086978238167	0.001270662878794	0.00276825977755967	0.0046199328599192	0.00823121864787069	0.017964416800346
80	0.00281194216735108	0.00579577115216188	0.00824770336186609	0.0045946454210221	0.0127964058163866	0.00954254097207232	0.14667239255311	0.000460752996017287	0.000665803277476294	0.0012693652074432	0.00276690314422829	0.00461881465829294	0.00823030524350943	0.0179680428300691
