lagtime	wtd_avg_RRD_p|all	se_p|all
0.666666666666667	0.0226768846080711	0.00038008827166927
2	0.0194563118377285	0.000221453577677535
4	0.021064137684073	0.000230247217747071
6	0.0201447291129274	0.000232053069692281
8	0.0187245463602683	0.000232341969829831
10	0.0165281231141744	0.000232538260814381
12	0.0154330037475468	0.000232912164503046
14	0.0143426522845626	0.00023329277565899
16	0.0128224111922148	0.000233646467551017
18	0.0111881259549498	0.000233930289234865
20	0.0097890407836415	0.000234140293307882
22	0.00921617804000079	0.000234293374769581
24	0.00814399744047186	0.000234438306424178
26	0.00710462135050792	0.000234534758151863
28	0.00633090638073034	0.000234597503948377
30	0.00622997978616346	0.000234678583670635
32	0.00541561298456696	0.000234782269551621
34	0.00554219150043629	0.000234833066359321
36	0.00542467125643557	0.000234867521792669
38	0.00485731359302149	0.000234874832209057
40	0.00424206853728125	0.000234873612040219
42	0.00377579102890051	0.00023486614134055
44	0.00414587853096263	0.00023486284425007
46	0.00412331594574412	0.000234863373249773
48	0.00397413597481356	0.000234864286683997
50	0.00326835317800797	0.000234860513782182
52	0.00313536683516403	0.000234859859008506
54	0.00278930073849485	0.000234861338591769
56	0.00259866295794286	0.000234848214965352
58	0.00245776739160368	0.000234830584643647
60	0.00259274616735673	0.000234810839976937
62	0.00253519309939307	0.000234776605940966
64	0.00265122887502845	0.000234737141256183
66	0.00265966698305413	0.000234694344401174
68	0.00272245362919842	0.000234660496624025
70	0.00216144768745571	0.000234626320910372
72	0.00273063578116699	0.00023454756011199
74	0.00290758516747494	0.0002343949742101
76	0.00273999266812266	0.000234164290372944
78	0.00260872027128761	0.000233764889304174
80	0.00248092014400554	0.000232670614823303
